Plant species,Plant variety,Plant genotype,Plant mutant ,Mutant type,Plant age (weeks),Tissue,ABA treatment,App method,Concentration (μm),Pathogen type,Pathogen lifestyle,Pathogen species,Elicitor,% Resistance Change,Binary,Ref
Tomato,Money Maker,sitiens,ABA,ABA deficient,5.5,Leaves,ABA,N/A,100000,Fungus,Necrotrophic,B. cinerea,N/A,-57.14285714,Susceptible,Sivakumaran et al 2016
Arabidopsis,,pmr4,OTHER,callose production,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,-56.81818182,Susceptible,García-Andrade et al 2011
Arabidopsis,,npq2-2,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,BABA,-53.125,Susceptible,Flors et al 2007
Tomato,Money Maker,WT,WT,WT,4,Leaves,ABA,phys supp,100,Bacterium,Necrotrophic,E. chrysanthemi,N/A,-49.00990099,Susceptible,Asselbergh et al 2008
Arabidopsis,,abi4-101,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,S. sclerotiorum,N/A,-47.86324786,Susceptible,Perchepied et al 2010
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,ABA,spray,100,Bacterium,Necrotrophic,E. chrysanthemi,N/A,-47.67756717,Susceptible,Asselbergh et al 2008
Arabidopsis,,triple abi2-2,ABA,ABA signalling,3,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,-45,Susceptible,Sanchez-Vallet et al 2012
Arabidopsis,Col-0,abi2-1,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Bacterium,Necrotrophic,R. solanacearum,N/A,-42.85714286,Susceptible,Hernández-Blanco 2007
Arabidopsis,,Ler-0,WT,WT,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-41.81818182,Susceptible,Xiao et al 2017
Arabidopsis,,ocp3 pmr4,OTHER,callose production,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,-40.90909091,Susceptible,García-Andrade et al 2011
Tomato,Money Maker,WT,WT,WT,4,Leaves,ABA,phys supp,100,Bacterium,Necrotrophic,E. chrysanthemi,N/A,-39.77186312,Susceptible,Asselbergh et al 2008
Arabidopsis,Col-0,35S::miR156a,OTHER,OTHER,5,Leaves,ABA,spray,500,Bacterium,Hemibiotroph,P. syringae hrrC-,N/A,-38.23529412,Susceptible,Berens et al 2019
Arabidopsis,,abi3-1,ABA,ABA insensitive,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-38,Susceptible,Xiao et al 2017
Arabidopsis,,abi4-103,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,S. sclerotiorum,N/A,-35.47008547,Susceptible,Perchepied et al 2010
Arabidopsis,Col-0,Col-0,WT,WT,5,Leaves,ABA,spray,500,Bacterium,Hemibiotroph,P. syringae hrrC-,N/A,-35.29411765,Susceptible,Berens et al 2019
Arabidopsis,,35S::HAB1,ABA,ABA insensitive,5.5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,21.05263158,Resistant,de Torres-Zabala 2007
Arabidopsis,,abi2-1,ABA,ABA insensitive,5.5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,22.80701754,Resistant,de Torres-Zabala 2007
Arabidopsis,,aao3,ABA,ABA deficient,5.5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,24.07407407,Resistant,de Torres-Zabala 2007
Arabidopsis,,abi1-1,ABA,ABA insensitive,5.5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,29.8245614,Resistant,de Torres-Zabala 2007
Arabidopsis,,Sha,WT,WT,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,S. sclerotiorum,N/A,-35.17241379,Susceptible,Perchepied et al 2010
Arabidopsis,,aba3-1,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,S. sclerotiorum,N/A,-33.76068376,Susceptible,Perchepied et al 2010
Arabidopsis,,Col-1,WT,WT,5,Leaves,ABA,spray,100,Fungus,Necrotrophic,B. cinerea,N/A,-33.33333333,Susceptible,Hailer et al 2021
Arabidopsis,,aba1-1,ABA,ABA insensitive,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,6.349206349,Resistant,Fan et al 2009
Arabidopsis,,aba3-1,ABA,ABA deficient,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,6.944444444,Resistant,Fan et al 2009
